Store,MCC,Type,Timestamp,Processing Time (s)
Simplygo,4111,"Local/suburban Commuter Passenger Transportation – Railroads, Ferries, Local Water Transportation",2024-10-31 15:28:09,3.64
Redmart,5411,"Grocery Stores, Supermarkets",2024-10-31 15:28:13,3.84
Guardian,5912,Drug Stores and Pharmacies,2024-10-31 15:28:17,3.61
Ikea,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 15:28:20,3.66
Don Don Donki,5411,"Grocery Stores, Supermarkets",2024-10-31 15:28:24,3.75
Nike,5655,"Sports Apparel, Riding Apparel Stores",2024-10-31 15:28:28,3.67
Fever,7929,"Bands, Orchestras, and Miscellaneous Entertainers not Elsewhere Classified",2024-10-31 15:28:31,3.85
Atome,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 15:28:35,3.62
Expedia,4722,Travel Agencies and Tour Operations,2024-10-31 15:28:39,3.7
Starhub,4814,"Fax Services, Telecommunication Services",2024-10-31 15:28:43,4.24
Cold Storage,5411,"Grocery Stores, Supermarkets",2024-10-31 15:28:47,4.19
Tada,4121,Taxicabs and Limousines,2024-10-31 15:28:51,4.25
Starbucks,5814,Fast Food Restaurants,2024-10-31 15:28:56,4.22
7-Eleven,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:29:00,3.9
Deliveroo,5812,Eating Places and Restaurants,2024-10-31 15:29:03,3.61
Kkday,4722,Travel Agencies and Tour Operations,2024-10-31 15:29:07,4.21
Marriott,3509,Marriott Hotels,2024-10-31 15:29:12,4.21
Tiktok Shop,5399,Miscellaneous General Merchandise,2024-10-31 15:29:16,4.26
Kopitiam,5814,Fast Food Restaurants,2024-10-31 15:29:20,4.22
Smrt,4111,"Local/suburban Commuter Passenger Transportation – Railroads, Ferries, Local Water Transportation",2024-10-31 15:29:24,3.65
Prudential Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:29:28,3.89
Courts,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 15:29:32,3.95
Taobao,5311,Department Stores,2024-10-31 15:29:36,3.92
Sheng Siong,5411,"Grocery Stores, Supermarkets",2024-10-31 15:29:39,3.56
Harvey Norman,5732,Electronics Sale,2024-10-31 15:29:43,3.69
Decathlon,5941,Sporting Goods Stores,2024-10-31 15:29:47,3.88
Grabpay (Topup On Grab Wallet),6051,"Non-financial Institutions – Foreign Currency, Money Orders not Wire Transfer and Travelers Cheques",2024-10-31 15:29:50,3.86
Shein,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:29:54,3.5
Lululemon,5655,"Sports Apparel, Riding Apparel Stores",2024-10-31 15:29:58,3.84
Samsung,5732,Electronics Sale,2024-10-31 15:30:02,3.94
Aia Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:30:06,4.05
Income Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:30:10,4.49
Heymax.Ai,5311,Department Stores,2024-10-31 15:30:15,4.54
Golden Village (Gv),7832,Motion Picture Theaters,2024-10-31 15:30:20,4.91
Cimb Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:30:25,4.99
Breadtalk,5462,Bakeries,2024-10-31 15:30:29,4.43
Kris,8999,Professional Services not Elsewhere Defined,2024-10-31 15:30:34,4.9
M1,4814,"Fax Services, Telecommunication Services",2024-10-31 15:30:39,4.88
Sistic,7922,"Theatrical Producers except Motion Pictures, Ticket Agencies",2024-10-31 15:30:44,5.0
Netflix,4899,"Cable, Satellite and Other Pay Television/radio/streaming Services",2024-10-31 15:30:49,5.21
Toast Box,5812,Eating Places and Restaurants,2024-10-31 15:30:54,4.86
Ticketmaster,7922,"Theatrical Producers except Motion Pictures, Ticket Agencies",2024-10-31 15:31:00,5.56
Takashimaya,5311,Department Stores,2024-10-31 15:31:05,5.01
Airasia,4511,"Airlines, Air Carriers",2024-10-31 15:31:10,4.98
Zalora,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:31:15,5.2
Adidas,5655,"Sports Apparel, Riding Apparel Stores",2024-10-31 15:31:20,4.98
Ishopchangi,5309,Duty Free Store,2024-10-31 15:31:25,5.06
Healthhub,8099,Medical Services and Health Practitioners not Elsewhere Classified,2024-10-31 15:31:30,4.79
Traveloka,4722,Travel Agencies and Tour Operations,2024-10-31 15:31:34,4.67
Krisshop,5309,Duty Free Store,2024-10-31 15:31:39,5.17
Kaspersky,5734,Computer Software Stores,2024-10-31 15:31:45,5.34
Challenger,5732,Electronics Sale,2024-10-31 15:31:50,4.72
Q&M Dental,8021,Dentists and Orthodontists,2024-10-31 15:31:55,5.06
Sephora,5977,Cosmetic Stores,2024-10-31 15:32:00,5.15
Decathlon (Online),5691,Men’s and Women’s Clothing Stores,2024-10-31 15:32:05,5.69
Cardup,7399,"Business Services, Not Elsewhere Classified",2024-10-31 15:32:10,4.41
Accor Hotels,7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services",2024-10-31 15:32:14,4.59
Aliexpress,5964,Direct Marketing – Catalog Merchant,2024-10-31 15:32:19,4.45
Four Leaves,5462,Bakeries,2024-10-31 15:32:24,5.44
Singlife Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:32:29,4.5
Myrepublic,4814,"Fax Services, Telecommunication Services",2024-10-31 15:32:33,4.57
Haidilao Hot Pot,5812,Eating Places and Restaurants,2024-10-31 15:32:38,4.44
Giant,5411,"Grocery Stores, Supermarkets",2024-10-31 15:32:43,4.81
Gain City,5732,Electronics Sale,2024-10-31 15:32:47,4.11
Popular,5942,Book Stores,2024-10-31 15:32:52,4.85
Koufu,5814,Fast Food Restaurants,2024-10-31 15:32:57,5.17
Best Denki,5732,Electronics Sale,2024-10-31 15:33:02,5.31
Muji,5331,Variety Stores,2024-10-31 15:33:06,4.14
Geneco,4900,"Electric, Gas, Sanitary and Water Utilities",2024-10-31 15:33:11,4.81
Raffles Medical Clinic,8011,Doctors and Physicians not Elsewhere Classified,2024-10-31 15:33:15,3.96
Esso,5541,Service Stations with Or Without Ancillary Services,2024-10-31 15:33:19,3.57
Getgo,7512,Car Rental Companies,2024-10-31 15:33:23,4.43
Axs,9399,Government Services not Elsewhere Classified,2024-10-31 15:33:27,3.93
Comfort Taxi,4121,Taxicabs and Limousines,2024-10-31 15:33:31,3.95
Jetstar Airways,3079,Jetstar Airways,2024-10-31 15:33:36,4.71
Din Tai Fung,5812,Eating Places and Restaurants,2024-10-31 15:33:40,4.31
Shell,5541,Service Stations with Or Without Ancillary Services,2024-10-31 15:33:44,4.28
Kfc,5814,Fast Food Restaurants,2024-10-31 15:33:48,4.24
Spotify,5815,"Digital Goods — Media, books, movies, music",2024-10-31 15:33:53,4.86
Ya Kun Kaya Toast,5814,Fast Food Restaurants,2024-10-31 15:33:58,4.72
Steam Games,5816,Digital Goods — Games,2024-10-31 15:34:03,4.74
Shaw Theatres,7832,Motion Picture Theaters,2024-10-31 15:34:08,4.82
Check My Body Health,8099,Medical Services and Health Practitioners not Elsewhere Classified,2024-10-31 15:34:12,4.7
Daiso,5311,Department Stores,2024-10-31 15:34:17,4.68
Shoppe,8999,Professional Services not Elsewhere Defined,2024-10-31 15:34:22,4.65
Anytime Fitness,7997,"Membership Clubs sports, Recreation, Athletic, Country Clubs, and Private Golf Courses",2024-10-31 15:34:26,4.75
Nespresso,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:34:31,4.75
Activesg,9399,Government Services not Elsewhere Classified,2024-10-31 15:34:36,4.7
Tiq Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:34:40,3.87
Chateraise,5462,Bakeries,2024-10-31 15:34:43,3.76
Venus Beauty,5977,Cosmetic Stores,2024-10-31 15:34:48,4.84
Singlife,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:34:53,4.74
Subway,5814,Fast Food Restaurants,2024-10-31 15:34:58,4.89
Great Eastern Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:35:03,4.89
Hdb (Season Parking),9399,Government Services not Elsewhere Classified,2024-10-31 15:35:08,4.74
Luckin Coffee,5814,Fast Food Restaurants,2024-10-31 15:35:12,4.83
Gomo,4814,"Fax Services, Telecommunication Services",2024-10-31 15:35:17,4.42
The Coffee Bean & Tea Leaf,5814,Fast Food Restaurants,2024-10-31 15:35:22,4.82
Disney Plus,4899,"Cable, Satellite and Other Pay Television/radio/streaming Services",2024-10-31 15:35:26,4.77
Ikea Resturant,5814,Fast Food Restaurants,2024-10-31 15:35:31,4.74
Ezlink,6540,Non-financial Institutions – Stored Value Card Purchase/load; Poi Funding Transactions,2024-10-31 15:35:35,4.28
Tangs,5311,Department Stores,2024-10-31 15:35:39,3.83
Apple Education Store,5732,Electronics Sale,2024-10-31 15:35:43,4.23
Pizza Hut,5814,Fast Food Restaurants,2024-10-31 15:35:48,4.25
Hilton,3504,Hilton Hotels,2024-10-31 15:35:52,4.27
Sushiro,5812,Eating Places and Restaurants,2024-10-31 15:35:56,4.25
Yakun (Store),5812,Eating Places and Restaurants,2024-10-31 15:36:01,4.41
Bengawan Solo,5462,Bakeries,2024-10-31 15:36:05,3.86
Genki Sushi,5812,Eating Places and Restaurants,2024-10-31 15:36:08,3.78
Circles Life,4814,"Fax Services, Telecommunication Services",2024-10-31 15:36:13,4.23
Dyson,5732,Electronics Sale,2024-10-31 15:36:17,4.24
Paypal,5735,Record Shops,2024-10-31 15:36:21,4.22
Qoo10,5262,Marketplaces,2024-10-31 15:36:25,4.24
Classpass,5734,Computer Software Stores,2024-10-31 15:36:29,3.67
Revolut,6012,Financial Institutions – Merchandise and Services,2024-10-31 15:36:33,4.29
Health Buddy App,8099,Medical Services and Health Practitioners not Elsewhere Classified,2024-10-31 15:36:37,4.3
Lotte Duty Free,5309,Duty Free Store,2024-10-31 15:36:42,4.24
Food Republic,5812,Eating Places and Restaurants,2024-10-31 15:36:46,4.21
Apple Icloud,5818,Digital Goods — Multi-category,2024-10-31 15:36:50,4.26
Fitness First,7997,"Membership Clubs sports, Recreation, Athletic, Country Clubs, and Private Golf Courses",2024-10-31 15:36:54,3.67
Old Chang Kee,5814,Fast Food Restaurants,2024-10-31 15:36:58,4.21
Giga!,4814,"Fax Services, Telecommunication Services",2024-10-31 15:37:02,4.27
Crocs,5661,Shoe Stores,2024-10-31 15:37:07,4.24
Spc,5541,Service Stations with Or Without Ancillary Services,2024-10-31 15:37:11,4.28
G2000,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:37:15,3.98
Fareastflora.Com,5193,"Florists’ Supplies, Nursery Stock and Flowers",2024-10-31 15:37:19,3.73
Saizeriya,5812,Eating Places and Restaurants,2024-10-31 15:37:23,4.37
Zym Mobile,4812,Telecommunications Equipment Including Telephone Sales,2024-10-31 15:37:27,4.22
Mr Coconut,5814,Fast Food Restaurants,2024-10-31 15:37:31,4.28
Ryde,5734,Computer Software Stores,2024-10-31 15:37:36,4.37
Parking.Sg,7523,Automobile Parking Lots and Garages,2024-10-31 15:37:40,3.92
Senoko Energy,4900,"Electric, Gas, Sanitary and Water Utilities",2024-10-31 15:37:43,3.69
Polar Puffs & Cakes,5462,Bakeries,2024-10-31 15:37:48,4.28
Carousell,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 15:37:52,4.5
Puma,5941,Sporting Goods Stores,2024-10-31 15:37:57,4.54
Cathay Pacific,3099,Cathay Pacific,2024-10-31 15:38:01,4.55
Hockhua Tonic,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:38:06,4.29
Chope,5812,Eating Places and Restaurants,2024-10-31 15:38:09,3.69
Minmed,8099,Medical Services and Health Practitioners not Elsewhere Classified,2024-10-31 15:38:13,4.07
Zig (Taxi),4121,Taxicabs and Limousines,2024-10-31 15:38:18,4.21
Qatar Airways,3136,Qatar Airways,2024-10-31 15:38:22,4.27
Youtrip,6540,Non-financial Institutions – Stored Value Card Purchase/load; Poi Funding Transactions,2024-10-31 15:38:26,4.28
Stuff'D,5814,Fast Food Restaurants,2024-10-31 15:38:30,4.21
Burger King,5814,Fast Food Restaurants,2024-10-31 15:38:34,3.64
Doctor Anywhere,8099,Medical Services and Health Practitioners not Elsewhere Classified,2024-10-31 15:38:38,4.24
Singapore General Hospital,8062,Hospitals,2024-10-31 15:38:43,4.43
Domino'S Pizza,5814,Fast Food Restaurants,2024-10-31 15:38:47,4.27
Paris Baguette,5814,Fast Food Restaurants,2024-10-31 15:38:52,4.75
Emirates Airlines,3026,Emirates Airlines,2024-10-31 15:38:56,4.2
Love Bonito,5631,Women’s Accessory and Specialty Shops,2024-10-31 15:39:00,3.83
Owndays,8043,"Opticians, Opticians Goods and Eyeglasses",2024-10-31 15:39:03,3.63
Ssense,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:39:08,4.27
Google Play Store,5816,Digital Goods — Games,2024-10-31 15:39:12,4.22
Shopify,5734,Computer Software Stores,2024-10-31 15:39:17,5.3
Caltex,5541,Service Stations with Or Without Ancillary Services,2024-10-31 15:39:21,4.27
Natureland,7298,Health and Beauty Shops,2024-10-31 15:39:26,4.25
Lac,5912,Drug Stores and Pharmacies,2024-10-31 15:39:29,3.6
Eu Yan Sang (Stores),5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:39:33,4.05
Swensen'S,5812,Eating Places and Restaurants,2024-10-31 15:39:38,4.23
Land Transport Authority,9399,Government Services not Elsewhere Classified,2024-10-31 15:39:42,4.3
Boost Juice Bar,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:39:47,5.01
Audio House,5732,Electronics Sale,2024-10-31 15:39:51,3.9
Google Store,5045,"Computers, Computer Peripheral Equipment, Not Elsewhere Classified",2024-10-31 15:39:54,3.55
Bluesg,7512,Car Rental Companies,2024-10-31 15:39:58,4.21
Great Eastern Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:40:03,4.09
Chan Brothers Travel,4722,Travel Agencies and Tour Operations,2024-10-31 15:40:06,3.88
Zara,5621,Women’s Ready-to-wear Stores,2024-10-31 15:40:10,3.9
Oddle Eats,5812,Eating Places and Restaurants,2024-10-31 15:40:14,3.59
Sk Jewellery,5944,"Watch, Clock, Jewelry, and Silverware Stores",2024-10-31 15:40:18,4.02
Aston'S,5814,Fast Food Restaurants,2024-10-31 15:40:22,3.9
Marks And Spencer,5311,Department Stores,2024-10-31 15:40:26,3.93
Liho,5814,Fast Food Restaurants,2024-10-31 15:40:31,4.93
Thomson Medical Centre,8062,Hospitals,2024-10-31 15:40:35,4.0
Easybook,4789,Transportation Services - Not Elsewhere Classified,2024-10-31 15:40:38,3.51
Town Council (Various),9399,Government Services not Elsewhere Classified,2024-10-31 15:40:42,3.88
Myprotein,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:40:46,4.11
Viator,4722,Travel Agencies and Tour Operations,2024-10-31 15:40:50,3.88
Youtube,5968,Direct Marketing – Continuity/subscription Merchant,2024-10-31 15:40:54,3.77
Capitastar,6540,Non-financial Institutions – Stored Value Card Purchase/load; Poi Funding Transactions,2024-10-31 15:40:58,3.94
Nets Flashpay,9399,Government Services not Elsewhere Classified,2024-10-31 15:41:02,3.93
Kcuts,7230,Barber and Beauty Shops,2024-10-31 15:41:06,3.88
Suki Ya,5812,Eating Places and Restaurants,2024-10-31 15:41:09,3.73
Instarem,6051,"Non-financial Institutions – Foreign Currency, Money Orders not Wire Transfer and Travelers Cheques",2024-10-31 15:41:13,3.78
Malaysia Airlines,3100,Malaysia Airlines,2024-10-31 15:41:17,3.9
H&M,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:41:21,3.9
National University Hospital,8062,Hospitals,2024-10-31 15:41:25,3.74
Zipair,4511,"Airlines, Air Carriers",2024-10-31 15:41:28,3.58
Eu Yan Sang (Tcm Clinic),8099,Medical Services and Health Practitioners not Elsewhere Classified,2024-10-31 15:41:32,3.9
Marriott Bonvoy Points Purchase,7399,"Business Services, Not Elsewhere Classified",2024-10-31 15:41:36,3.9
Cedele,5812,Eating Places and Restaurants,2024-10-31 15:41:40,4.09
Kinokuniya,5942,Book Stores,2024-10-31 15:41:44,3.59
Adobe Creative Cloud,5734,Computer Software Stores,2024-10-31 15:41:48,4.33
Skechers,5661,Shoe Stores,2024-10-31 15:41:53,4.79
Amazon Prime,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 15:41:57,4.25
Bee Cheng Hiang,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:42:02,4.38
Scarlett,8999,Professional Services not Elsewhere Defined,2024-10-31 15:42:06,4.31
Points.Com,7399,"Business Services, Not Elsewhere Classified",2024-10-31 15:42:10,3.86
Transit Link,9399,Government Services not Elsewhere Classified,2024-10-31 15:42:13,3.65
Yakun (App),5734,Computer Software Stores,2024-10-31 15:42:18,4.23
Hotels.Com,4722,Travel Agencies and Tour Operations,2024-10-31 15:42:22,4.29
Wine Connection,5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 15:42:26,4.25
Ntuc Unity,5912,Drug Stores and Pharmacies,2024-10-31 15:42:30,4.24
Marina Bay Sands (Online Ticketing),7991,Tourist Attractions and Exhibits,2024-10-31 15:42:34,3.63
Cheers,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:42:38,4.21
Mr Bean,5814,Fast Food Restaurants,2024-10-31 15:42:42,4.28
Dian Xiao Er,5812,Eating Places and Restaurants,2024-10-31 15:42:47,4.2
Toys R Us,5945,"Hobby, Toy, and Game Shops",2024-10-31 15:42:51,4.32
Playstation Network,5816,Digital Goods — Games,2024-10-31 15:42:56,4.91
Mount Elizabeth Novena Hospital,8062,Hospitals,2024-10-31 15:43:00,3.83
Mustafa Centre,5331,Variety Stores,2024-10-31 15:43:03,3.69
Song Fa Bak Kut Teh,5812,Eating Places and Restaurants,2024-10-31 15:43:08,4.4
Hilton Honors Points Purchase,7399,"Business Services, Not Elsewhere Classified",2024-10-31 15:43:12,4.25
Canton Paradise,5812,Eating Places and Restaurants,2024-10-31 15:43:16,4.26
Accor Plus,7997,"Membership Clubs sports, Recreation, Athletic, Country Clubs, and Private Golf Courses",2024-10-31 15:43:21,4.73
Chanel,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:43:28,6.94
Universal Studio Singapore,7996,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",2024-10-31 15:43:32,4.23
Immigration & Checkpoints Authority,9399,Government Services not Elsewhere Classified,2024-10-31 15:43:37,4.26
Photobook Singapore,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 15:43:41,4.34
Restaurant,5814,Fast Food Restaurants,2024-10-31 15:43:45,3.87
National University Of Singapore,8220,"Colleges, Junior Colleges, Universities, and Professional Schools",2024-10-31 15:43:48,3.74
Putien,5812,Eating Places and Restaurants,2024-10-31 15:43:53,4.46
Uber,4121,Taxicabs and Limousines,2024-10-31 15:43:57,4.28
Harry'S,5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 15:44:01,4.26
Isetan,5311,Department Stores,2024-10-31 15:44:06,4.52
Singsaver,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:44:10,4.3
Body Fit Training (Bft),7997,"Membership Clubs sports, Recreation, Athletic, Country Clubs, and Private Golf Courses",2024-10-31 15:44:14,4.1
The Learning Lab,8299,Schools and Educational Services not Elsewhere Classified,2024-10-31 15:44:19,4.2
Ezbuy,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:44:23,4.29
Etiqa Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:44:27,4.32
Rentalcars.Com,7512,Car Rental Companies,2024-10-31 15:44:31,4.25
Tori Q,5812,Eating Places and Restaurants,2024-10-31 15:44:36,4.28
Scarlett Supermarket,5411,"Grocery Stores, Supermarkets",2024-10-31 15:44:39,3.77
Shilla Duty Free,5309,Duty Free Store,2024-10-31 15:44:44,4.08
Sixt Car Rental,3355,Sixt Car Rental,2024-10-31 15:44:48,4.27
Swee Heng 1989,5814,Fast Food Restaurants,2024-10-31 15:44:52,4.28
Aig Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:44:56,4.01
Lovebonito,5621,Women’s Ready-to-wear Stores,2024-10-31 15:45:00,3.94
Direct Asia Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:45:04,3.64
Sushi Express,5814,Fast Food Restaurants,2024-10-31 15:45:08,4.2
Pan Pacific Hotel,7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services",2024-10-31 15:45:12,4.0
Tiong Bahru Bakery,5812,Eating Places and Restaurants,2024-10-31 15:45:16,3.9
Safra Treats,9399,Government Services not Elsewhere Classified,2024-10-31 15:45:20,3.78
Nitori,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 15:45:24,3.93
Hsbc,6012,Financial Institutions – Merchandise and Services,2024-10-31 15:45:27,3.92
Ipaymy,7399,"Business Services, Not Elsewhere Classified",2024-10-31 15:45:31,3.97
Soup Spoon,5814,Fast Food Restaurants,2024-10-31 15:45:35,3.94
Charles & Keith,5661,Shoe Stores,2024-10-31 15:45:39,3.78
Udemy,5734,Computer Software Stores,2024-10-31 15:45:43,3.95
Mothercare,5621,Women’s Ready-to-wear Stores,2024-10-31 15:45:47,4.04
Lenskart,8043,"Opticians, Opticians Goods and Eyeglasses",2024-10-31 15:45:51,3.94
Apple Music,5818,Digital Goods — Multi-category,2024-10-31 15:45:55,3.88
Prism+,5732,Electronics Sale,2024-10-31 15:45:59,3.73
Japan Home,5399,Miscellaneous General Merchandise,2024-10-31 15:46:03,3.96
Uob,6012,Financial Institutions – Merchandise and Services,2024-10-31 15:46:07,4.0
Jurong Polyclinic,8062,Hospitals,2024-10-31 15:46:11,3.97
Guzman Y Gomez,5814,Fast Food Restaurants,2024-10-31 15:46:14,3.54
Touch N Go,4784,Toll and Bridge Fees,2024-10-31 15:46:18,4.19
Google Payment Singapore Pte Ltd,5815,"Digital Goods — Media, books, movies, music",2024-10-31 15:46:22,4.15
Royal Caribbean,4411,Cruise and Steamship Lines,2024-10-31 15:46:26,3.89
Singpost,9402,Postal Services – Government Only,2024-10-31 15:46:30,4.02
One Motoring,9399,Government Services not Elsewhere Classified,2024-10-31 15:46:34,3.78
Singapore Zoo,9399,Government Services not Elsewhere Classified,2024-10-31 15:46:38,3.91
Korean Airlines,3082,Korean Airlines,2024-10-31 15:46:42,3.91
Mount Alvernia Hospital,8062,Hospitals,2024-10-31 15:46:46,4.04
Collin'S Grille,5812,Eating Places and Restaurants,2024-10-31 15:46:50,4.05
Birds Of Paradise,5812,Eating Places and Restaurants,2024-10-31 15:46:54,3.67
Allianz Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:46:58,3.93
World Of Hyatt Points Purchase,7399,"Business Services, Not Elsewhere Classified",2024-10-31 15:47:02,4.32
Food Junction,5814,Fast Food Restaurants,2024-10-31 15:47:06,4.26
Aesop,5977,Cosmetic Stores,2024-10-31 15:47:11,4.32
Raffles Hospital,8062,Hospitals,2024-10-31 15:47:14,3.62
Istudio,5732,Electronics Sale,2024-10-31 15:47:19,4.32
Whizcomms,4816,Computer Network Services,2024-10-31 15:47:23,4.28
Paradise Group,5812,Eating Places and Restaurants,2024-10-31 15:47:27,4.26
Skyscanner,4722,Travel Agencies and Tour Operations,2024-10-31 15:47:31,4.3
Heavenly Wang,5812,Eating Places and Restaurants,2024-10-31 15:47:36,4.44
Virgin Active,7298,Health and Beauty Shops,2024-10-31 15:47:40,3.9
Louis Vuitton,5631,Women’s Accessory and Specialty Shops,2024-10-31 15:47:44,4.3
Pet Lovers Centre,5995,"Pet Shops, Pet Foods, and Supplies Stores",2024-10-31 15:47:48,4.26
Fragrance Bak Kwa,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:47:53,4.25
Japan Airlines,3006,Japan Airlines,2024-10-31 15:47:57,4.25
Swee Heng,5814,Fast Food Restaurants,2024-10-31 15:48:01,4.28
Sinopec,5541,Service Stations with Or Without Ancillary Services,2024-10-31 15:48:05,3.87
Ps Cafe,5812,Eating Places and Restaurants,2024-10-31 15:48:09,3.62
Metro,5311,Department Stores,2024-10-31 15:48:13,4.46
Marche,5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 15:48:17,4.27
Fortytwo,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 15:48:22,4.26
Gong Cha,5814,Fast Food Restaurants,2024-10-31 15:48:26,4.44
Smile Dental Group,8021,Dentists and Orthodontists,2024-10-31 15:48:30,3.91
Hl Assurance Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:48:34,3.74
Yakiniku Like,5812,Eating Places and Restaurants,2024-10-31 15:48:38,4.22
Cotton On,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:48:42,4.23
